,DSSd00_1,DSSd00_2,DSSd00_3,DSSd07_1,DSSd07_2,DSSd07_3
Gm22672,23,21,21,23,30,40
Gm22298,53,85,65,67,75,64
AC140325.4,41,41,42,42,43,30
Gm11099,1,2,4,0,1,0
Gm23461,12,11,13,3,11,5
Gm23523,27,32,28,36,33,29
Gm25121,6,11,4,6,4,2
Gm22135,6,17,15,12,11,17
Mir425,15,13,17,20,23,18
Gm24639,0,3,1,1,5,3
Mir5615-1,5,6,5,4,3,0
Gm25104,1,5,3,3,3,6
Gm25731,22,13,19,15,15,16
Gm25433,81,93,105,56,38,61
Gm22313,16,22,17,9,4,11
Gm25279,167,146,164,141,160,131
Mir140,160,164,189,208,187,183
Snora52,0,1,0,0,1,0
Gm25051,3,6,4,3,4,0
Gm6091,0,0,0,1,0,2
Gm26269,1,0,0,0,2,0
CAAA01205117.1,51,79,72,49,54,44
Gm27457,15,4,6,8,12,15
Mir30b,17,16,28,20,24,27
Gm23741,2,1,2,0,2,1
Gm23364,92,60,98,77,95,63
Gm22013,8,3,5,2,7,0
Gm22818,4,4,6,3,2,2
Gm25807,64,64,72,93,59,53
Mir7214,0,0,3,0,0,1
Gm26119,72,56,60,58,103,64
Mir504,0,0,0,1,0,1
Gm23767,2,2,6,7,2,5
Snora74a,7,4,6,8,7,5
Gm24338,78,74,82,110,104,85
Gm22622,12,12,9,11,8,6
Gm25419,153,139,151,180,181,195
Gm26406,11,12,10,16,12,14
Gm26482,19,23,25,20,24,25
Gm23431,41,38,48,57,42,57
Gm24957,5,3,3,2,2,0
Gm24305,106,74,109,99,92,85
Gm22303,1,1,0,1,3,0
Gm27985,2,2,1,1,0,1
Gm24917,34,26,33,29,38,22
Gm26015,9,2,8,2,6,9
Gm22072,11,5,12,12,15,12
Snord58b,14,29,22,32,25,44
Gm24251,250,337,328,531,509,434
Gm27972,71,74,89,160,113,87
Gm22499,19,21,18,23,25,20
Mir3620,51,42,53,58,47,47
Gm23735,3,0,1,2,4,1
Mir501,30,20,24,34,28,32
Gm23097,24,20,38,30,26,20
Gm22481,309,269,340,338,515,305
Gm23181,15,13,10,13,9,7
Rnu5g,16,20,17,6,9,4
Gm25896,278,286,309,267,239,259
Gm23681,2,0,1,1,1,0
Gm22084,22,26,20,24,22,23
Gm25328,25,15,10,15,12,15
Mir743b,31,47,55,41,46,31
Snord70,1,0,0,0,1,0
Gm22187,109,118,101,108,109,82
Gm24105,3,3,2,1,1,3
Gm22797,8,13,13,13,15,14
Gm22605,0,1,0,1,0,1
Gm25411,3,1,3,2,4,3
Snord45c,5,4,3,0,5,3
Mir6961,11,8,9,6,7,10
Gm26342,30,47,52,46,53,50
Gm22981,8,7,12,24,11,20
Gm22507,40,25,35,35,46,53
n-R5s158,1,0,1,1,0,1
Gm25382,0,3,0,0,3,1
Gm24552,24,23,34,35,28,31
Gm27579,1,0,0,0,0,1
Gm22255,28,13,12,10,20,16
Gm27610,3,6,9,6,6,8
Gm23527,3,5,5,2,2,2
Gm23651,8,2,11,12,6,14
Gm27913,0,0,2,0,0,2
Mir6993,41,29,25,25,31,22
Mir1932,30,23,29,30,25,28
Gm22911,12,13,12,0,9,8
Gm27289,19,13,12,21,17,22
Mir7672,11,10,17,9,10,13
Gm22879,15,4,6,21,10,14
Gm24363,25,27,31,42,50,36
Gm26390,4,4,4,1,2,1
Mir27a,2,2,3,6,3,0
n-R5s32,4,1,2,2,4,5
n-R5s47,1,1,0,0,2,2
Gm27833,25,18,24,28,52,44
Gm22078,7,1,3,4,3,3
Gm24186,5,1,3,3,4,7
n-R5s154,18,11,10,9,25,18
Gm23708,55,55,58,63,73,84
Gm23149,0,0,5,1,1,0
Mir466e,12,19,16,15,5,16
Gm23891,118,114,120,216,198,214
Gm44391,3,0,12,2,8,4
