"","DSSd00_1","DSSd00_2","DSSd00_3","DSSd07_1","DSSd07_2","DSSd07_3"
"Aldh18a1",54,47,40,54,52,44
"Aldh1a1",257,192,217,138,152,137
"Aldh1a2",1,3,3,11,7,6
"Aldh1a3",10,12,11,4,16,13
"Aldh1a7",15,8,11,11,8,5
"Aldh1b1",307,302,322,293,342,344
"Aldh1l1",32,16,18,47,41,48
"Aldh2",462,439,408,342,368,279
"Aldh3a2",106,86,97,84,91,100
"Aldh3b1",11,8,11,14,19,10
"Aldh4a1",10,13,17,7,8,10
"Aldh5a1",20,24,20,19,19,15
"Aldh6a1",38,34,35,35,23,32
"Aldh7a1",27,29,22,18,26,18
"Aldh9a1",42,56,63,79,69,66
"Aldoa",674,778,809,917,876,684
"Aldoart1",26,24,24,28,24,23
"Aldob",97,68,84,75,126,81
"Aldoc",9,15,12,14,8,16
"Alg1",25,17,22,19,22,20
"Alg10b",30,30,36,44,38,37
"Alg11",14,17,20,23,19,17
"Alg12",7,7,8,11,11,12
"Alg14",8,7,10,6,7,8
"Alg2",21,15,18,17,20,23
"Alg3",13,15,14,11,18,16
"Alg5",29,21,21,14,37,47
"Alg6",15,11,7,11,17,11
"Alg8",9,6,6,2,6,5
"Alg9",31,29,33,47,39,38
"Alkbh3",5,6,5,5,11,6
"Alkbh4",5,11,10,7,7,5
"Alkbh5",113,107,125,147,100,110
"Alkbh6",12,12,8,10,11,9
"Alkbh7",20,8,10,9,4,10
"Alkbh8",4,4,13,8,9,9
"Alox5ap",2,5,2,8,8,6
"Alpi",12,11,24,28,22,48
"Alpk1",5,5,8,11,8,8
"Als2",14,17,10,8,9,7
"Als2cl",16,17,17,23,17,19
"Alyref",32,28,31,39,25,35
"Amacr",4,6,7,16,8,7
"Ambp",7,8,7,1,1,3
"Ambra1",52,47,44,47,48,28
"Amd1",5,6,11,16,4,7
"Amdhd2",26,30,32,28,23,27
"Amer1",7,5,12,8,17,12
"Amfr",145,137,155,158,146,134
"Amigo1",21,13,20,21,18,17
"Amigo2",13,19,10,14,18,16
"Amigo3",8,6,7,5,3,10
"Ammecr1",14,21,17,9,12,26
"Ammecr1l",35,35,31,36,48,30
"Amn",16,24,29,11,25,18
"Amot",18,16,26,23,26,32
"Amotl1",31,26,31,24,35,29
"Amotl2",19,23,14,16,17,10
"Ampd2",31,35,26,24,27,19
"Ampd3",49,52,57,45,45,51
"Amt",16,5,5,7,8,7
"Amz1",10,3,8,7,7,5
"Amz2",17,9,13,12,32,17
"Anapc1",69,61,60,68,60,72
"Anapc11",27,35,39,20,39,31
"Anapc13",34,37,33,19,30,25
"Anapc16",22,15,14,23,25,25
"Anapc2",71,62,45,65,84,63
"Anapc4",17,16,20,18,17,30
"Anapc5",77,82,72,71,88,97
"Anapc7",18,29,27,35,34,27
"Ang",21,29,18,23,18,20
"Ang4",4,2,8,2,12,15
"Angel1",4,11,10,8,7,6
